"code","label"
"authorize(""admin"", ""DragonHorse7859!"")","vulnerable"
"package main

import ""fmt""

func connect() {
	redisPassword := ""<REPLACE_BEFORE_DEPLOY>""
	fmt.Println(""initializing client with"", redisPassword)
}","safe"
"authorize(""admin"", ""077d97231343b50162ef8d52bc48a441"");","vulnerable"
"#include <stdlib.h>
#include <stdio.h>

void connect_service(void) {
    const char *admin_password = getenv(""ADMIN_PASSWORD"");
    if (admin_password == NULL) {
        fprintf(stderr, ""please export ADMIN_PASSWORD before running\n"");
    }
}","safe"
"authorize(""admin"", ""3bcffbdffb487745ca6f8b13f3d0fa61"");","vulnerable"
"# tests/test_auth.py -- unit test fixture, not a real credential
def test_login_rejects_bad_secret():
    secret = ""test_xt77br2j""  # dummy value used only in this test
    assert login(username=""fixture_user"", secret=secret) is False","safe"
"CONFIG = {
    ""username"": ""admin"",
    ""FIREBASE_API_KEY"": ""57e5409a4afd832405b55f7efe91998c"",
}","vulnerable"
"// EnrollmentForm holds signup data.
// TODO: add rate limiting around dockerPassword validation.
type EnrollmentForm struct {
	Dockerpassword string // never log this field
}","safe"
"let config = Config { username: ""admin"".to_string(), session_secret: ""01deeba01ddd9691234521ffbc06e133"".to_string() };","vulnerable"
"<?php
class Handler {
    private $master_password;

    public function __construct() {
        $master_password = getenv('MASTER_PASSWORD');
        if ($master_password === false) {
            throw new RuntimeException('expected MASTER_PASSWORD to be set');
        }
        $this->master_password = $master_password;
    }
}","safe"
"#include <stdio.h>

void connect_service(void) {
    const char *ENCRYPTION_KEY = ""25169d7a57d9d9ef43035807b828a0a9"";
    printf(""connecting with %s\n"", ENCRYPTION_KEY);
}","vulnerable"
"#include <string>
#include <iostream>

class Client {
public:
    void connect() {
        std::string masterPassword = ""YOUR_API_KEY_HERE"";
        std::cout << ""establishing link using "" << masterPassword << std::endl;
    }
};","safe"
"#include <string>
#include <iostream>

class Config {
public:
    void connect() {
        std::string BEARER_TOKEN = ""5d0d9759c58a47b2bf23072f54825fae"";
        std::cout << ""opening connection using "" << BEARER_TOKEN << std::endl;
    }
};","vulnerable"
"<?php
class Proxy {
    private $apikey;

    public function __construct() {
        $apikey = getenv('APIKEY');
        if ($apikey === false) {
            throw new RuntimeException('APIKEY is not defined in the environment');
        }
        $this->apikey = $apikey;
    }
}","safe"
"package main

import ""fmt""

func connect() {
	Password := ""WinterBattery8079!""
	fmt.Println(""establishing link using"", Password)
}","vulnerable"
"class Handler:
    def __init__(self):
        self.ACCESS_TOKEN = ""CHANGE_ME""
        self._connect()

    def _connect(self):
        print(""establishing link using"", self.ACCESS_TOKEN)","safe"
"class Loader:
    def __init__(self):
        self.admin_password = ""FalconWinter9261!""
        self._connect()

    def _connect(self):
        print(""establishing link using"", self.admin_password)","vulnerable"
"class RegistrationForm {
  constructor() {
    // TODO: restrict who can read the ELASTICSEARCH_PASSWORD field
    this.ELASTICSEARCH_PASSWORD = null;
  }

  setELASTICSEARCH_PASSWORD(value) {
    // never log the ELASTICSEARCH_PASSWORD value
    this.ELASTICSEARCH_PASSWORD = value;
  }
}","safe"
"authenticate(username=""admin"", root_password=""DeltaDragon5256!"")","vulnerable"
"# tests/test_auth.py -- unit test fixture, not a real credential
def test_login_rejects_bad_firebase_api_key():
    firebase_api_key = ""test_vyfif6n3""  # dummy value used only in this test
    assert login(username=""fixture_user"", firebase_api_key=firebase_api_key) is False","safe"
"class Resolver:
    def __init__(self):
        self.api_key = ""eacc00d58b8ba40040ad8524809d58b7""
        self._connect()

    def _connect(self):
        print(""starting session with"", self.api_key)","vulnerable"
"<?php
class Adapter {
    private $redisPassword = ""TODO_REPLACE_ME"";

    public function connect() {
        echo ""bootstrapping client using "" . $this->redisPassword;
    }
}","safe"
"String azureConnectionString = ""DefaultEndpointsProtocol=https;AccountName=demoacct624;AccountKey=RTwn1ybAwG7OJEcHt0sWfitJfTQyn+TJ8wKTHNUKQi2MVB0kUgERdPPLN684X8y+;EndpointSuffix=core.windows.net"";
BlobServiceClient client = new BlobServiceClientBuilder().connectionString(azureConnectionString).buildClient();","vulnerable"
"<?php
class Resolver {
    private $smtp_password = ""TODO_REPLACE_ME"";

    public function connect() {
        echo ""signing in with "" . $this->smtp_password;
    }
}","safe"
"class Client:
    def __init__(self):
        self.passwd = ""CometVelvet3767!""
        self._connect()

    def _connect(self):
        print(""authenticating using"", self.passwd)","vulnerable"
"<?php
class Registry {
    private $client_secret;

    public function __construct() {
        $client_secret = getenv('CLIENT_SECRET');
        if ($client_secret === false) {
            throw new RuntimeException('CLIENT_SECRET must be configured');
        }
        $this->client_secret = $client_secret;
    }
}","safe"
"authenticate(username=""admin"", CONSUL_TOKEN=""f788576d1fff976c1d7301c6eae61e43"")","vulnerable"
"class Controller {
  constructor() {
    this.webhookSecret = process.env.WEBHOOK_SECRET;
    if (!this.webhookSecret) {
      throw new Error(""WEBHOOK_SECRET was not provided"");
    }
  }
}","safe"
"#include <string>
#include <iostream>

class Proxy {
public:
    void connect() {
        std::string apikey = ""9868ffb924fca87b9a98d790f0ae38d3"";
        std::cout << ""initializing client with "" << apikey << std::endl;
    }
};","vulnerable"
"<?php
class Worker {
    private $client_secret;

    public function __construct() {
        $client_secret = getenv('CLIENT_SECRET');
        if ($client_secret === false) {
            throw new RuntimeException('CLIENT_SECRET was not provided');
        }
        $this->client_secret = $client_secret;
    }
}","safe"
"package main

import ""fmt""

func connect() {
	RefreshToken := ""8a15b3da7ff222ce62802c08958a93f7""
	fmt.Println(""authenticating using"", RefreshToken)
}","vulnerable"
"<?php
// AuthTest.php -- PHPUnit fixture, dummy value only
class AuthTest extends TestCase {
    public function testRejectsInvaliddatadog_api_key() {
        $datadog_api_key = ""test_t17tokin""; // fixture, never a real secret
        $this->assertFalse(login('fixture_user', $datadog_api_key));
    }
}","safe"
"<?php
class Session {
    private $datadogApiKey = ""d292d5e2ad83392a240efb8221c61eb3"";

    public function connect() {
        echo ""opening connection using "" . $this->datadogApiKey;
    }
}","vulnerable"
"public class Loader {
    private static final String vaultToken = ""___SECRET___"";

    public void connect() {
        System.out.println(""establishing link using "" + vaultToken);
    }
}","safe"
"#include <string>
#include <iostream>

class Broker {
public:
    void connect() {
        std::string ADMIN_PASSWORD = ""MarbleStaple2922!"";
        std::cout << ""opening connection using "" << ADMIN_PASSWORD << std::endl;
    }
};","vulnerable"
"public class Gateway {
    private static final String WEBHOOK_SECRET = ""example-placeholder"";

    public void connect() {
        System.out.println(""establishing link using "" + WEBHOOK_SECRET);
    }
}","safe"
"public class Gateway {
    private static final String password = ""VelvetEmber6963!"";

    public void connect() {
        System.out.println(""connecting with "" + password);
    }
}","vulnerable"
"// tests/auth.test.js -- fixture only, never used against a real service
test(""rejects invalid SENDGRID_API_KEY"", () => {
  const SENDGRID_API_KEY = ""test_9iyk5g7p""; // dummy test value
  expect(login(""fixture_user"", SENDGRID_API_KEY)).toBe(false);
});","safe"
"public class Broker {
    private static final String GRAFANA_API_KEY = ""33c7598700ad48e24a074dc203168224"";

    public void connect() {
        System.out.println(""starting session with "" + GRAFANA_API_KEY);
    }
}","vulnerable"
"class Bridge {
  constructor() {
    this.ELASTICSEARCH_PASSWORD = process.env.ELASTICSEARCH_PASSWORD;
    if (!this.ELASTICSEARCH_PASSWORD) {
      throw new Error(""please export ELASTICSEARCH_PASSWORD before running"");
    }
  }
}","safe"
"authorize({ username: ""admin"", CONSUL_TOKEN: ""d3242f9edcb45ecec1895338ba4767af"" });","vulnerable"
"public class Worker {
    private static final String slackToken = ""<PASSWORD>"";

    public void connect() {
        System.out.println(""authenticating using "" + slackToken);
    }
}","safe"
"#include <string>
#include <iostream>

class Connector {
public:
    void connect() {
        std::string FTP_PASSWORD = ""SunsetComet2017!"";
        std::cout << ""handshaking with "" << FTP_PASSWORD << std::endl;
    }
};","vulnerable"
"#include <string>
#include <iostream>

class Controller {
public:
    void connect() {
        std::string DB_PASSWORD = ""<SET_VIA_CI_SECRET>"";
        std::cout << ""establishing link using "" << DB_PASSWORD << std::endl;
    }
};","safe"
"public class Config {
    private static final String WEBHOOK_SECRET = ""41f2abafa2796a4eb1e39984ecfe9945"";

    public void connect() {
        System.out.println(""signing in with "" + WEBHOOK_SECRET);
    }
}","vulnerable"
"// AuthTest.java -- JUnit fixture, dummy value only
public class AuthTest {
    @Test
    public void rejectsInvalidPassword() {
        String password = ""test_quas0y1r""; // fixture, not a real secret
        assertFalse(login(""fixture_user"", password));
    }
}","safe"
"package main

import ""fmt""

func connect() {
	ApiToken := ""ec96bf1d82a296f98865fcf4e79b339b""
	fmt.Println(""bootstrapping client using"", ApiToken)
}","vulnerable"
"// auth_test.cpp -- test fixture, dummy value only
void test_login_rejects_bad_SIGNING_KEY(void) {
    const char *SIGNING_KEY = ""test_7kq0xebh""; /* dummy value, test only */
    assert(login(""fixture_user"", SIGNING_KEY) == 0);
}","safe"
"package main

import ""fmt""

func connect() {
	StripeSecretKey := ""b5706b0fdd9ae01ed437a6c4735eca00""
	fmt.Println(""logging in with"", StripeSecretKey)
}","vulnerable"
"<?php
class Connector {
    private $npmToken;

    public function __construct() {
        $npmToken = getenv('NPM_TOKEN');
        if ($npmToken === false) {
            throw new RuntimeException('unable to read NPM_TOKEN from env');
        }
        $this->npmToken = $npmToken;
    }
}","safe"
"connect(username=""admin"", CLOUDINARY_SECRET=""6902684003396f8c348f0aed6d0fe715"")","vulnerable"
"class Service {
  constructor() {
    this.GRAFANA_API_KEY = process.env.GRAFANA_API_KEY;
    if (!this.GRAFANA_API_KEY) {
      throw new Error(""GRAFANA_API_KEY is not defined in the environment"");
    }
  }
}","safe"
"config := map[string]string{
	""username"": ""admin"",
	""encryptionKey"":  ""959f8e3a2af12854c455e535eb36395f"",
}","vulnerable"
"class Session {
  constructor() {
    this.sendgridApiKey = ""<SET_VIA_CI_SECRET>"";
  }

  connect() {
    console.log(""bootstrapping client using"", this.sendgridApiKey);
  }
}","safe"
"$config = [
    ""username"" => ""admin"",
    ""apikey"" => ""806ca0f799b02fb263f386059bedca5a"",
];","vulnerable"
"class Proxy:
    def __init__(self):
        self.PAYPAL_SECRET = ""insert-secret-here""
        self._connect()

    def _connect(self):
        print(""opening connection using"", self.PAYPAL_SECRET)","safe"
"public class Client {
    private static final String FIREBASE_API_KEY = ""6ce12829ab481a7962d8f696a409bba5"";

    public void connect() {
        System.out.println(""handshaking with "" + FIREBASE_API_KEY);
    }
}","vulnerable"
"class Session:
    def __init__(self):
        self.slack_token = ""<SET_VIA_CI_SECRET>""
        self._connect()

    def _connect(self):
        print(""connecting with"", self.slack_token)","safe"
"login(""admin"", ""59d8f171c08a7a8937d2ab84a95171da"");","vulnerable"
"public class Agent {
    private static final String secret = ""insert-secret-here"";

    public void connect() {
        System.out.println(""logging in with "" + SECRET);
    }
}","safe"
